"covid","cardiopatia+isquemica","accidente+cerebrovascular","enfermedad+pulmonar+obstructica+cronica","infecciones+vias+respiratorias+inferiores","afecciones+neonatales","cancer+traquea","cancer+bronquios","cancer+pulmon","alzheimer","enfermedad+diarreica","diabetes+melitus","nefropatia"
"Aproximadamente 478.000.000 resultados (0,44 segundos) ","Aproximadamente 668 resultados (0,30 segundos) ","Aproximadamente 21.800 resultados (0,37 segundos) ","Aproximadamente 2.160 resultados (0,39 segundos) ","Aproximadamente 3.220 resultados (0,37 segundos) ","Aproximadamente 19.800 resultados (0,35 segundos) ","Aproximadamente 597 resultados (0,35 segundos) ","Aproximadamente 1.480 resultados (0,41 segundos) ","Aproximadamente 8.050 resultados (0,40 segundos) ","Aproximadamente 6.770.000 resultados (0,38 segundos) ","Aproximadamente 1.350 resultados (0,35 segundos) ","Aproximadamente 288.000 resultados (0,41 segundos) ","Aproximadamente 4.960 resultados (0,35 segundos) "
"Aproximadamente 448.000.000 resultados (0,55 segundos) ","Aproximadamente 646 resultados (0,29 segundos) ","Aproximadamente 20.000 resultados (0,38 segundos) ","Aproximadamente 1.630 resultados (0,36 segundos) ","Aproximadamente 3.220 resultados (0,33 segundos) ","Aproximadamente 19.700 resultados (0,37 segundos) ","Aproximadamente 656 resultados (0,30 segundos) ","Aproximadamente 1.610 resultados (0,38 segundos) ","Aproximadamente 7.920 resultados (0,43 segundos) ","Aproximadamente 5.870.000 resultados (0,42 segundos) ","Aproximadamente 1.450 resultados (0,46 segundos) ","Aproximadamente 287.000 resultados (0,39 segundos) ","Aproximadamente 5.050 resultados (0,39 segundos) "
"Aproximadamente 609.000.000 resultados (0,45 segundos) ","Aproximadamente 711 resultados (0,32 segundos) ","Aproximadamente 20.000 resultados (0,38 segundos) ","Aproximadamente 1.590 resultados (0,36 segundos) ","Aproximadamente 2.750 resultados (0,37 segundos) ","Aproximadamente 18.000 resultados (0,34 segundos) ","Aproximadamente 475 resultados (0,29 segundos) ","Aproximadamente 1.410 resultados (0,38 segundos) ","Aproximadamente 7.480 resultados (0,44 segundos) ","Aproximadamente 4.710.000 resultados (0,38 segundos) ","Aproximadamente 1.230 resultados (0,35 segundos) ","Aproximadamente 273.000 resultados (0,40 segundos) ","Aproximadamente 4.880 resultados (0,34 segundos) "
"Aproximadamente 213.000.000 resultados (0,42 segundos) ","Aproximadamente 498 resultados (0,40 segundos) ","Aproximadamente 10.600 resultados (0,36 segundos) ","Aproximadamente 1.060 resultados (0,36 segundos) ","Aproximadamente 1.580 resultados (0,36 segundos) ","Aproximadamente 7.980 resultados (0,41 segundos) ","Aproximadamente 201 resultados (0,34 segundos) ","Aproximadamente 496 resultados (0,30 segundos) ","Aproximadamente 3.860 resultados (0,42 segundos) ","Aproximadamente 344.000 resultados (0,44 segundos) ","Aproximadamente 678 resultados (0,30 segundos) ","Aproximadamente 146.000 resultados (0,43 segundos) ","Aproximadamente 2.540 resultados (0,32 segundos) "
"Aproximadamente 600.000.000 resultados (0,48 segundos) ","Aproximadamente 826 resultados (0,34 segundos) ","Aproximadamente 19.500 resultados (0,42 segundos) ","Aproximadamente 1.820 resultados (0,37 segundos) ","Aproximadamente 2.860 resultados (0,41 segundos) ","Aproximadamente 16.200 resultados (0,36 segundos) ","Aproximadamente 513 resultados (0,39 segundos) ","Aproximadamente 1.300 resultados (0,36 segundos) ","Aproximadamente 8.130 resultados (0,44 segundos) ","Aproximadamente 6.770.000 resultados (0,38 segundos) ","Aproximadamente 1.700 resultados (0,34 segundos) ","Aproximadamente 281.000 resultados (0,41 segundos) ","Aproximadamente 5.590 resultados (0,33 segundos) "
"Aproximadamente 586.000.000 resultados (0,46 segundos) ","Aproximadamente 638 resultados (0,36 segundos) ","Aproximadamente 18.700 resultados (0,40 segundos) ","Aproximadamente 1.500 resultados (0,40 segundos) ","Aproximadamente 2.810 resultados (0,42 segundos) ","Aproximadamente 16.200 resultados (0,34 segundos) ","Aproximadamente 574 resultados (0,34 segundos) ","Aproximadamente 1.290 resultados (0,34 segundos) ","Aproximadamente 8.330 resultados (0,40 segundos) ","Aproximadamente 7.460.000 resultados (0,43 segundos) ","Aproximadamente 1.540 resultados (0,34 segundos) ","Aproximadamente 308.000 resultados (0,40 segundos) ","Aproximadamente 5.580 resultados (0,33 segundos) "
"Aproximadamente 608.000.000 resultados (0,72 segundos) ","Aproximadamente 610 resultados (0,37 segundos) ","Aproximadamente 17.300 resultados (0,38 segundos) ","Aproximadamente 1.490 resultados (0,38 segundos) ","Aproximadamente 2.400 resultados (0,34 segundos) ","Aproximadamente 14.400 resultados (0,37 segundos) ","Aproximadamente 651 resultados (0,32 segundos) ","Aproximadamente 1.150 resultados (0,33 segundos) ","Aproximadamente 7.510 resultados (0,57 segundos) ","Aproximadamente 7.190.000 resultados (0,41 segundos) ","Aproximadamente 1.330 resultados (0,42 segundos) ","Aproximadamente 307.000 resultados (0,44 segundos) ","Aproximadamente 5.670 resultados (0,65 segundos) "
"Aproximadamente 8 resultados (1,20 segundos) ","Aproximadamente 1 resultado (0,23 segundos) ","Aproximadamente 9.390 resultados (0,29 segundos) ","Aproximadamente 7 resultados (0,30 segundos) ","Aproximadamente 1.130 resultados (0,55 segundos) ","Aproximadamente 6.590 resultados (0,32 segundos) ","Aproximadamente 5 resultados (0,24 segundos) ","Aproximadamente 10 resultados (0,27 segundos) ","Aproximadamente 3.460 resultados (0,58 segundos) ","Aproximadamente 2.010.000 resultados (0,35 segundos) ","Aproximadamente 672 resultados (0,31 segundos) ","Aproximadamente 142.000 resultados (0,31 segundos) ","Aproximadamente 2.830 resultados (0,27 segundos) "
"Aproximadamente 331.000.000 resultados (0,41 segundos) ","Aproximadamente 6 resultados (0,24 segundos) ","Aproximadamente 9.030 resultados (0,30 segundos) ","Aproximadamente 653 resultados (0,35 segundos) ","Aproximadamente 1.130 resultados (0,31 segundos) ","Aproximadamente 6.590 resultados (0,66 segundos) ","Aproximadamente  4 resultados (0,27 segundos) ","Aproximadamente 9 resultados (0,29 segundos) ","Aproximadamente 3.460 resultados (0,32 segundos) ","Aproximadamente 1.610.000 resultados (0,40 segundos) ","Aproximadamente 796 resultados (0,21 segundos) ","Aproximadamente 142.000 resultados (0,35 segundos) ","Aproximadamente 2.820 resultados (0,27 segundos) "
"Aproximadamente 474.000.000 resultados (0,50 segundos) ","5 resultados (0,21 segundos) ","Aproximadamente 18.400 resultados (0,29 segundos) ","Aproximadamente 735 resultados (0,36 segundos) ","Aproximadamente 1.180 resultados (0,30 segundos) ","Aproximadamente 7.920 resultados (0,34 segundos) ","Aproximadamente  5 resultados (0,26 segundos) ","Aproximadamente 556 resultados (0,36 segundos) ","Aproximadamente 3.590 resultados (0,36 segundos) ","Aproximadamente 3.420.000 resultados (0,39 segundos) ","Aproximadamente 773 resultados (0,30 segundos) ","Aproximadamente 177.000 resultados (0,35 segundos) ","Aproximadamente 3.220 resultados (0,30 segundos) "
"Aproximadamente 64.600.000 resultados (0,60 segundos) ","2 resultados (0,21 segundos) ","Aproximadamente 1.350 resultados (0,30 segundos) ","Aproximadamente 9 resultados (0,29 segundos) ","Aproximadamente 201 resultados (0,29 segundos) ","Aproximadamente 3.000 resultados (0,31 segundos) ","Aproximadamente  2 resultados (0,23 segundos) ","Aproximadamente 6 resultados (0,34 segundos) ","Aproximadamente 447 resultados (0,35 segundos) ","Aproximadamente 57.000 resultados (0,38 segundos) ","Aproximadamente 8 resultados (0,18 segundos) ","Aproximadamente 23.900 resultados (0,38 segundos) ","Aproximadamente 398 resultados (0,34 segundos) "
